DateTime,Gender,Age
2024-01-01,Male,35
2024-01-02,Female,14
2024-01-03,Male,34
2024-01-04,Male,23
2024-01-05,Female,52
2024-01-06,Female,46
2024-01-07,Male,75
2024-01-08,Female,36
2024-01-09,Male,43
2024-01-10,Male,23
2024-01-11,Female,35
2024-01-12,Female,14
2024-01-13,Male,34
2024-01-14,Male,23
2024-01-15,Female,52
2024-01-16,Female,46
2024-01-17,Male,75
2024-01-18,Female,36
2024-01-19,Male,43
2024-01-20,Female,23
2024-01-21,Male,35
2024-01-22,Female,14
2024-01-23,Male,34
2024-01-24,Male,23
2024-01-25,Female,52
2024-01-26,Female,46
2024-01-27,Male,75
2024-01-28,Female,36
2024-01-29,Male,43
2024-01-30,Male,23
2024-01-31,Female,35
